Symbol,base_currency,quote_currency,quote_increment,base_increment,display_name,min_market_funds,margin_enabled,post_only,limit_only,cancel_only,status,status_message,trading_disabled,fx_stablecoin,max_slippage_percentage,auction_mode,high_bid_limit_percentage
00-USD,00,USD,0.0001,0.01,00-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
1INCH-BTC,1INCH,BTC,0.0000001,0.01,1INCH-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
1INCH-EUR,1INCH,EUR,0.001,0.01,1INCH-EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False,
1INCH-GBP,1INCH,GBP,0.001,0.01,1INCH-GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False,
1INCH-USD,1INCH,USD,0.001,0.01,1INCH-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
2Z-USD,2Z,USD,0.00001,0.01,2Z/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
A8-USD,A8,USD,0.0001,0.01,A8/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
AAVE-BTC,AAVE,BTC,0.000001,0.001,AAVE-BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False,
AAVE-EUR,AAVE,EUR,0.01,0.001,AAVE-EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False,
AAVE-GBP,AAVE,GBP,0.01,0.001,AAVE-GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False,
AAVE-USD,AAVE,USD,0.01,0.001,AAVE-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ABT-USD,ABT,USD,0.0001,0.1,ABT-USD,1,False,False,True,False,online,,False,False,0.03000000,False,
ACH-USD,ACH,USD,0.000001,0.1,ACH-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ACH-USDT,ACH,USDT,0.000001,0.1,ACH-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
ACS-USD,ACS,USD,0.0000001,1,ACS-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ACX-USD,ACX,USD,0.0001,0.1,ACX/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ADA-BTC,ADA,BTC,0.00000001,0.01,ADA-BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False,
ADA-ETH,ADA,ETH,0.000001,0.01,ADA-ETH,0.00022,False,False,False,False,online,,False,False,0.03000000,False,
ADA-EUR,ADA,EUR,0.0001,0.01,ADA-EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False,
ADA-GBP,ADA,GBP,0.0001,0.01,ADA-GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False,
ADA-USD,ADA,USD,0.0001,0.00000001,ADA-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ADA-USDC,ADA,USDC,0.001,0.01,ADA-USDC,1,False,False,False,False,delisted,,True,False,0.03000000,False,
ADA-USDT,ADA,USDT,0.0001,0.01,ADA-USDT,1,False,False,False,False,online,,False,False,0.03000000,False,
AERGO-USD,AERGO,USD,0.0001,0.1,AERGO-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
AERO-USD,AERO,USD,0.00001,0.1,AERO-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
AGLD-USD,AGLD,USD,0.0001,0.01,AGLD-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
AGLD-USDT,AGLD,USDT,0.0001,0.01,AGLD-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
AIOZ-USD,AIOZ,USD,0.0001,0.1,AIOZ-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
AIOZ-USDT,AIOZ,USDT,0.0001,0.1,AIOZ-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
AKT-USD,AKT,USD,0.001,0.01,AKT/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ALCX-EUR,ALCX,EUR,0.01,0.0001,ALCX-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
ALCX-USD,ALCX,USD,0.01,0.0001,ALCX-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ALCX-USDT,ALCX,USDT,0.01,0.0001,ALCX-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
ALEO-USD,ALEO,USD,0.001,0.01,ALEO/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ALEPH-USD,ALEPH,USD,0.0001,0.1,ALEPH-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ALGO-BTC,ALGO,BTC,0.00000001,1,ALGO-BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False,
ALGO-EUR,ALGO,EUR,0.0001,1,ALGO-EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False,
ALGO-GBP,ALGO,GBP,0.0001,1,ALGO-GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False,
ALGO-USD,ALGO,USD,0.0001,0.1,ALGO-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ALICE-USD,ALICE,USD,0.001,0.001,ALICE-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ALT-USD,ALT,USD,0.00001,1,ALT/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
AMP-USD,AMP,USD,0.00001,1,AMP-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ANKR-BTC,ANKR,BTC,0.00000001,1,ANKR-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
ANKR-EUR,ANKR,EUR,0.00001,1,ANKR-EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False,
ANKR-GBP,ANKR,GBP,0.00001,1,ANKR-GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False,
ANKR-USD,ANKR,USD,0.00001,1,ANKR-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ANT-USD,ANT,USD,0.01,0.01,ANT-USD,5.0,False,False,False,False,delisted,,True,False,0.03000000,False,
APE-EUR,APE,EUR,0.001,0.01,APE-EUR,1,False,False,False,False,online,,False,False,0.03000000,False,
APE-USD,APE,USD,0.001,0.01,APE-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
APE-USDT,APE,USDT,0.001,0.01,APE-USDT,1,False,False,False,False,online,,False,False,0.03000000,False,
API3-USD,API3,USD,0.001,0.01,API3-USD,5,False,False,False,False,online,,False,False,0.03000000,False,
API3-USDT,API3,USDT,0.001,0.01,API3-USDT,5,False,False,False,False,delisted,,True,False,0.03000000,False,
APR-USD,APR,USD,0.0001,0.1,APR/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
