unix,low,high,open,close,volume,date
1749139800,0.309,0.325,0.325,0.309,1058053.5,2025-06-05 16:10:00+00:00
1749140100,0.3054,0.3111,0.3099,0.3075,327831.8,2025-06-05 16:15:00+00:00
1749140400,0.305,0.3103,0.3075,0.3075,419595.9,2025-06-05 16:20:00+00:00
1749140700,0.3068,0.3095,0.3075,0.3079,383082.9,2025-06-05 16:25:00+00:00
1749141000,0.3052,0.3079,0.3079,0.3065,53550.1,2025-06-05 16:30:00+00:00
1749141300,0.3044,0.3071,0.306,0.3063,240593.0,2025-06-05 16:35:00+00:00
1749141600,0.3039,0.3074,0.306,0.305,245891.3,2025-06-05 16:40:00+00:00
1749141900,0.3037,0.3063,0.305,0.3058,124915.6,2025-06-05 16:45:00+00:00
1749142200,0.3038,0.3062,0.3056,0.305,166083.5,2025-06-05 16:50:00+00:00
1749142500,0.305,0.307,0.305,0.3061,54142.2,2025-06-05 16:55:00+00:00
1749142800,0.3061,0.3077,0.3061,0.3068,113176.7,2025-06-05 17:00:00+00:00
1749143100,0.3056,0.3096,0.3068,0.3088,167059.6,2025-06-05 17:05:00+00:00
1749143400,0.308,0.3096,0.3089,0.3083,142461.7,2025-06-05 17:10:00+00:00
1749143700,0.3083,0.3116,0.3083,0.3103,118063.0,2025-06-05 17:15:00+00:00
1749144000,0.308,0.3103,0.3099,0.309,131152.3,2025-06-05 17:20:00+00:00
1749144300,0.3079,0.3096,0.309,0.309,62520.7,2025-06-05 17:25:00+00:00
1749144600,0.3075,0.3092,0.309,0.3075,24092.5,2025-06-05 17:30:00+00:00
1749144900,0.3063,0.309,0.3079,0.309,33865.0,2025-06-05 17:35:00+00:00
1749145200,0.3079,0.309,0.3086,0.3079,11762.1,2025-06-05 17:40:00+00:00
1749145500,0.3069,0.3093,0.3075,0.3082,213637.9,2025-06-05 17:45:00+00:00
1749145800,0.3074,0.3089,0.3082,0.3083,63897.4,2025-06-05 17:50:00+00:00
1749146100,0.3075,0.3083,0.3076,0.3082,50175.1,2025-06-05 17:55:00+00:00
