unix,low,high,open,close,volume,date
1749744600,1.2941,1.3489,1.348,1.2993,101220.76,2025-06-12 16:10:00+00:00
1749744900,1.299,1.3148,1.2993,1.3108,165617.22,2025-06-12 16:15:00+00:00
1749745200,1.3061,1.3159,1.3099,1.3075,108867.16,2025-06-12 16:20:00+00:00
1749745500,1.3068,1.32,1.3075,1.3174,95263.51,2025-06-12 16:25:00+00:00
1749745800,1.3031,1.3203,1.3174,1.3084,194840.28,2025-06-12 16:30:00+00:00
1749746100,1.3029,1.3125,1.3084,1.305,81812.56,2025-06-12 16:35:00+00:00
1749746400,1.3043,1.3113,1.3043,1.3103,24622.88,2025-06-12 16:40:00+00:00
1749746700,1.3047,1.3231,1.3117,1.3047,28169.46,2025-06-12 16:45:00+00:00
1749747000,1.2912,1.3079,1.3073,1.2955,67304.71,2025-06-12 16:50:00+00:00
1749747300,1.2952,1.308,1.2955,1.3038,43834.44,2025-06-12 16:55:00+00:00
1749747600,1.3009,1.3121,1.3063,1.3106,46329.33,2025-06-12 17:00:00+00:00
1749747900,1.3094,1.3263,1.3094,1.3236,58056.03,2025-06-12 17:05:00+00:00
1749748200,1.3213,1.3294,1.324,1.3253,40888.79,2025-06-12 17:10:00+00:00
1749748500,1.3259,1.3346,1.3259,1.3327,54055.72,2025-06-12 17:15:00+00:00
1749748800,1.3279,1.3379,1.3337,1.3291,94708.94,2025-06-12 17:20:00+00:00
1749749100,1.3285,1.346,1.3289,1.3427,102380.64,2025-06-12 17:25:00+00:00
1749749400,1.3412,1.3493,1.3419,1.3486,55870.9,2025-06-12 17:30:00+00:00
1749749700,1.3475,1.3578,1.3493,1.3571,96674.19,2025-06-12 17:35:00+00:00
1749750000,1.3528,1.3648,1.357,1.364,48895.89,2025-06-12 17:40:00+00:00
1749750300,1.36,1.377,1.3649,1.3638,130922.29,2025-06-12 17:45:00+00:00
1749750600,1.3587,1.3678,1.365,1.3622,89137.54,2025-06-12 17:50:00+00:00
1749750900,1.3545,1.359,1.3589,1.359,26909.61,2025-06-12 17:55:00+00:00
1749751200,1.355,1.3658,1.3583,1.3588,64578.2,2025-06-12 18:00:00+00:00
1749751500,1.3438,1.3551,1.3551,1.3477,33745.82,2025-06-12 18:05:00+00:00
1749751800,1.3427,1.3585,1.3494,1.3509,76700.61,2025-06-12 18:10:00+00:00
1749752100,1.3417,1.3528,1.35,1.3424,12302.03,2025-06-12 18:15:00+00:00
1749752400,1.3349,1.3454,1.3454,1.3378,13506.01,2025-06-12 18:20:00+00:00
1749752700,1.3206,1.3385,1.3381,1.3305,34315.98,2025-06-12 18:25:00+00:00
1749753000,1.3259,1.3409,1.3309,1.3408,24158.6,2025-06-12 18:30:00+00:00
1749753300,1.3286,1.3439,1.3369,1.3286,17537.37,2025-06-12 18:35:00+00:00
1749753600,1.303,1.3282,1.3282,1.3061,39116.81,2025-06-12 18:40:00+00:00
1749753900,1.2937,1.3062,1.3059,1.2974,32262.01,2025-06-12 18:45:00+00:00
1749754200,1.2965,1.3244,1.2966,1.3117,37582.1,2025-06-12 18:50:00+00:00
1749754500,1.3069,1.3148,1.3129,1.3119,13941.3,2025-06-12 18:55:00+00:00
1749754800,1.3,1.3184,1.3131,1.3174,21953.95,2025-06-12 19:00:00+00:00
1749755100,1.3063,1.3178,1.3169,1.3066,1871.02,2025-06-12 19:05:00+00:00
1749755400,1.3046,1.3199,1.3069,1.3199,9169.35,2025-06-12 19:10:00+00:00
1749755700,1.318,1.3363,1.3188,1.3314,47744.98,2025-06-12 19:15:00+00:00
1749756000,1.3249,1.3445,1.3254,1.3355,19965.53,2025-06-12 19:20:00+00:00
1749756300,1.335,1.3636,1.3407,1.3388,83262.2,2025-06-12 19:25:00+00:00
1749756600,1.3319,1.3374,1.3328,1.3374,4409.55,2025-06-12 19:30:00+00:00
1749756900,1.3184,1.3334,1.3333,1.3228,15811.73,2025-06-12 19:35:00+00:00
1749757200,1.3164,1.327,1.3209,1.3164,14144.45,2025-06-12 19:40:00+00:00
1749757500,1.2885,1.3106,1.31,1.2911,30256.56,2025-06-12 19:45:00+00:00
1749757800,1.2698,1.2928,1.2928,1.2821,74523.04,2025-06-12 19:50:00+00:00
1749758100,1.2817,1.2925,1.2821,1.29,40598.98,2025-06-12 19:55:00+00:00
1749758400,1.285,1.3075,1.2887,1.3074,18393.87,2025-06-12 20:00:00+00:00
1749758700,1.3136,1.3212,1.3174,1.3147,41924.36,2025-06-12 20:05:00+00:00
1749759000,1.3002,1.3202,1.3141,1.3024,25355.25,2025-06-12 20:10:00+00:00
1749759300,1.3058,1.3325,1.3058,1.3181,88325.24,2025-06-12 20:15:00+00:00
1749759600,1.3081,1.3211,1.3188,1.3121,13825.0,2025-06-12 20:20:00+00:00
1749759900,1.3006,1.319,1.3105,1.315,8934.72,2025-06-12 20:25:00+00:00
1749760200,1.3007,1.3156,1.3137,1.3037,10851.87,2025-06-12 20:30:00+00:00
