day,first_time,last_time,count,max_ret,max_volchg
2024-11-15,2024-11-15 13:05:00+00:00,2024-11-15 13:05:00+00:00,1,0.02361111111111112,13.854130030166443
2024-11-16,2024-11-16 01:30:00+00:00,2024-11-16 11:50:00+00:00,2,0.025784271594327505,8.538059443690928
2024-11-18,2024-11-18 08:05:00+00:00,2024-11-18 08:05:00+00:00,1,0.03514526710403005,16.43131292446911
2024-11-21,2024-11-21 22:05:00+00:00,2024-11-21 22:05:00+00:00,1,0.007714561234329723,5.7607762518806895
2024-11-23,2024-11-23 09:30:00+00:00,2024-11-23 09:30:00+00:00,1,0.02137546468401482,5.658576261176703
2024-11-24,2024-11-24 18:15:00+00:00,2024-11-24 18:15:00+00:00,1,0.0076844262295082105,6.077916400488747
2024-12-02,2024-12-02 13:15:00+00:00,2024-12-02 13:15:00+00:00,1,0.010390895596239468,32.005624634427605
2024-12-04,2024-12-04 18:00:00+00:00,2024-12-04 18:00:00+00:00,1,0.02750965250965249,9.152973145505976
2024-12-11,2024-12-11 08:30:00+00:00,2024-12-11 13:30:00+00:00,3,0.018348623853210975,6.601126561932039
2024-12-12,2024-12-12 16:00:00+00:00,2024-12-12 16:00:00+00:00,1,0.013147082990961394,6.610286140972049
2024-12-13,2024-12-13 13:45:00+00:00,2024-12-13 13:45:00+00:00,1,0.0120732722731057,8.639682837217888
2024-12-15,2024-12-15 23:20:00+00:00,2024-12-15 23:20:00+00:00,1,0.011894647408665986,15.874214299475426
2024-12-16,2024-12-16 16:05:00+00:00,2024-12-16 16:05:00+00:00,1,0.007731958762886524,9.929010305166305
2024-12-19,2024-12-19 10:40:00+00:00,2024-12-19 16:55:00+00:00,2,0.01257202723939241,36.11669837983942
2024-12-20,2024-12-20 06:15:00+00:00,2024-12-20 06:15:00+00:00,1,0.019127316198445925,6.0372187657527965
2024-12-21,2024-12-21 00:30:00+00:00,2024-12-21 10:25:00+00:00,4,0.012527233115468382,20.764439597436436
2024-12-22,2024-12-22 05:50:00+00:00,2024-12-22 08:00:00+00:00,2,0.01733102253032932,20.2416617036979
2024-12-25,2024-12-25 19:15:00+00:00,2024-12-25 19:15:00+00:00,1,0.007046070460704631,11.443023582666758
2024-12-27,2024-12-27 09:00:00+00:00,2024-12-27 09:00:00+00:00,1,0.015855039637599135,13.190284684411772
